geonameid;name;asciiname;altnames;lat;long;fclass;fcode;ccode;cc2;acode1;acode2;acode3;acode4;pop;elev;gtopo;tz;mdate
2026160;Borogontsy;Borogontsy;Borogoncy,Borogontsi,Borogontsy,Борогонцы;62.66833;131.16833;P;PPL;RU;;63;;;;5280;;123;Asia/Yakutsk;17.01.2012
499040;Sambek;Sambek;SAMBEK,Sambek,САМБЕК,Самбек;47.74306;39.83083;P;PPL;RU;;61;;;;5278;;144;Europe/Moscow;17.01.2012
2012532;Zhigalovo;Zhigalovo;ZHIGALOVO,Zhigalovo,Zjigalovo,ЖИГАЛОВО;54.80972;105.15778;P;PPL;RU;;20;;;;5272;;412;Asia/Irkutsk;17.01.2012
468044;Yelan’-Koleno;Yelan'-Koleno;Elan'-Koleno,Yelan'-Koleno,Yelan’-Koleno,Елань-Колено;51.1523;41.2306;P;PPL;RU;;86;;;;5270;;95;Europe/Moscow;17.01.2012
515098;Orda;Orda;Orda,Орда;57.19509;56.90908;P;PPL;RU;;90;;;;5270;;152;Asia/Yekaterinburg;17.01.2012
494531;Shigony;Shigony;Shigony,Sjigony,Шигоны;53.3875;48.6777;P;PPL;RU;;65;;;;5268;;69;Europe/Samara;17.01.2012
580676;Asekeyevo;Asekeyevo;Asekeevo,Asekejevo,Asekeyevo,Асекеево;53.57425;52.79724;P;PPL;RU;;55;;;;5267;;86;Asia/Yekaterinburg;17.01.2012
6730265;Obolensk;Obolensk;Obolensk,Оболенск;54.97741;37.22449;P;PPL;RU;;47;;;;5264;;179;Europe/Moscow;20.01.2012
462413;Zlynka;Zlynka;Slynka,ZLYNKA,Zlynka,ЗЛЫНКА,Злынка;52.4267;31.7378;P;PPL;RU;;10;;;;5260;;154;Europe/Moscow;17.01.2012
536219;Lenina;Lenina;Imeni Lenina,Lenina,Ленина;46.06667;39.78333;P;PPL;RU;;38;;;;5259;;36;Europe/Moscow;17.01.2012
515582;Ol’ginskaya;Ol'ginskaya;Ol'ginskaja,Ol'ginskaya,Olginskaja,Ol’ginskaya,Ольгинская;47.18794;39.94925;P;PPL;RU;;61;;;;5255;;4;Europe/Moscow;17.01.2012
